image_type;filename;flag;info
#--------------------raw_bias_blue--------------------
bias_blue;UVES.2010-01-01T10:08:04.504;NULL;NULL
bias_blue;UVES.2010-01-01T10:08:50.087;NULL;NULL
bias_blue;UVES.2010-01-01T10:09:35.661;NULL;NULL
bias_blue;UVES.2010-01-01T10:10:21.234;NULL;NULL
bias_blue;UVES.2010-01-01T10:11:06.808;NULL;NULL
bias_blue;UVES.2010-01-02T09:11:29.220;NULL;NULL
bias_blue;UVES.2010-01-02T09:12:14.803;NULL;NULL
bias_blue;UVES.2010-01-02T09:13:00.377;NULL;NULL
bias_blue;UVES.2010-01-02T09:13:45.950;NULL;NULL
bias_blue;UVES.2010-01-02T09:14:31.524;NULL;NULL
bias_blue;UVES.2010-01-03T09:40:59.219;NULL;NULL
bias_blue;UVES.2010-01-03T09:41:44.802;NULL;NULL
bias_blue;UVES.2010-01-03T09:42:30.375;NULL;NULL
bias_blue;UVES.2010-01-03T09:43:15.949;NULL;NULL
bias_blue;UVES.2010-01-03T09:44:01.523;NULL;NULL
bias_blue;UVES.2010-01-04T08:59:44.102;NULL;NULL
bias_blue;UVES.2010-01-04T09:00:29.686;NULL;NULL
bias_blue;UVES.2010-01-04T09:01:15.269;NULL;NULL
bias_blue;UVES.2010-01-04T09:02:00.853;NULL;NULL
bias_blue;UVES.2010-01-04T09:02:46.437;NULL;NULL
bias_blue;UVES.2010-01-05T12:52:14.798;NULL;NULL
bias_blue;UVES.2010-01-05T12:53:00.381;NULL;NULL
bias_blue;UVES.2010-01-05T12:53:45.955;NULL;NULL
bias_blue;UVES.2010-01-05T12:54:31.528;NULL;NULL
bias_blue;UVES.2010-01-05T12:55:17.102;NULL;NULL
bias_blue;UVES.2010-01-06T19:53:18.330;NULL;NULL
bias_blue;UVES.2010-01-06T19:54:03.914;NULL;NULL
bias_blue;UVES.2010-01-06T19:54:49.498;NULL;NULL
bias_blue;UVES.2010-01-06T19:55:35.082;NULL;NULL
